,Company,Origin,Model,CC,Horsepower,Torque,Transmission,Drivetrain,Seating,Price(Lakhs),Year,Looks,Body,Engine,Cylinders
240,Victory,United States,Cross Country,106.0,94.0,149.6,6-speed Manual,Belt,2,15.0,<2020,Modern,Cruiser,V-twin,2
241,Victory,United States,Judge,106.0,94.0,149.6,6-speed Manual,Belt,2,14.5,<2020,Modern,Cruiser,V-twin,2
242,Victory,United States,Hammer,1179.0,104.0,136.0,6-speed Manual,Belt,2,17.0,<2020,Modern,Cruiser,V-twin,2
243,Victory,United States,Octane,1179.0,104.0,103.4,6-speed Manual,Belt,2,12.5,<2020,Modern,Cruiser,V-twin,2
244,Victory,United States,Vision,1731.0,116.0,163.2,6-speed Manual,Belt,2,22.0,<2020,Modern,Touring,V-twin,3
245,Hanway,China,Furious 125,125.0,11.0,10.0,5-speed Manual,Chain,2,1.0,2023,Modern,Street,Single,1
246,Hanway,China,Black Cafe 125,125.0,11.0,10.0,5-speed Manual,Chain,2,1.05,2023,Retro,Cafe racer,Single,1
247,Hanway,China,Muscle 125,125.0,11.0,10.0,5-speed Manual,Chain,2,1.1,2023,Modern,Cruiser,Single,1
248,Hanway,China,Scrambler 125,125.0,11.0,10.0,5-speed Manual,Chain,2,1.15,2023,Retro,Scrambler,Single,1
249,Hanway,China,Raw 125,125.0,11.0,10.0,5-speed Manual,Chain,2,1.2,2023,Modern,Naked,Single,1
250,Keeway,Italy,V302C,298.0,29.9,26.5,6-speed Manual,Chain,1,3.89,2023,Cruiser,Retro,"Air-Cooled, Single-Cylinder",1
251,Keeway,Italy,Vieste 300,278.2,242.0,16.0,CVT,CVT,1,3.25,2023,Modern,Sport,"Liquid-Cooled, Single-Cylinder",1
252,Keeway,Italy,K-Light 250V,249.0,242.0,17.0,6-speed Manual,Chain,1,3.2,2023,Modern,Sports Naked,"Air-Cooled, Single-Cylinder",1
253,Keeway,Italy,K300 R,292.4,356.4,22.0,6-speed Manual,Chain,1,2.65,2023,Modern,Sports,"Liquid-Cooled, Single-Cylinder",1
254,Keeway,Italy,Sixties 300i,278.2,242.0,16.0,CVT,CVT,1,3.3,2023,Retro,Cafe Racer,"Liquid-Cooled, Single-Cylinder",1
255,Keeway,Italy,SR125,125.0,125.7,10.5,CVT,CVT,1,1.2,2023,Modern,Commuter,"Air-Cooled, Single-Cylinder",1
256,Jawa,India,Jawa 42,293.0,27.33,27.02,6-speed Manual,Chain,2,1.67,2020,Retro,Cruiser,"Single-cylinder, liquid-cooled",1
257,Jawa,India,Jawa 42 Bobber,293.0,27.33,27.02,6-speed Manual,Chain,2,1.84,2020,Retro,Bobber,"Single-cylinder, liquid-cooled",1
258,Jawa,India,Jawa Perak,334.0,30.64,32.74,6-speed Manual,Chain,2,2.15,2021,Modern,Cruiser,"Single-cylinder, liquid-cooled",1
259,Lexmoto,United Kingdom,LXR 125,125.0,178.8,11.0,6-speed Manual,Chain,2,1.65,2022,Modern,Sports,"Single-cylinder, liquid-cooled",1
260,Lexmoto,United Kingdom,ZSX 125,125.0,184.1,11.5,6-speed Manual,Chain,2,1.75,2022,Modern,Naked,"Single-cylinder, liquid-cooled",1
261,Lexmoto,United Kingdom,Milano 125,125.0,124.9,9.0,CVT,Belt,2,1.35,2022,Retro,Scooter,"Single-cylinder, air-cooled",1
262,Lexmoto,United Kingdom,Vendetta 250,250.0,276.2,18.6,6-speed Manual,Chain,2,2.25,2022,Modern,Cruiser,"Single-cylinder, liquid-cooled",1
263,Mash,China,Black Seven 125,125.0,14.7,11.0,Manual,Chain,2,1.1,2023,Retro,Street,Single-cylinder,1
264,Mash,China,Two Fifty,250.0,20.0,18.0,Manual,Chain,2,1.5,2023,Retro,Scrambler,Single-cylinder,1
265,Mash,China,Dirt Track 125,125.0,14.7,11.0,Manual,Chain,2,1.0,2023,Retro,Dirt bike,Single-cylinder,1
266,Mash,China,Five Hundred,500.0,35.0,38.0,Manual,Chain,2,2.5,2023,Retro,Cafe racer,Single-cylinder,1
267,Segway,China,Dirt eBike X260,500.0,6.7,250.6,Automatic,Electric,1,3.5,2023,Modern,Dirt bike,Electric,1
268,Arcfox,China,Alpha S,1903.0,90.7,261.5,Automatic,Other,2,1.4,2023,Futuristic,Sportbike,Electric,2
269,Hyosung,South Korea,Aquila GV650,647.0,68.0,73.4,6-speed Manual,Other,2,6.5,2023,"Modern, aggressive",Cruiser,V-twin,2
270,Fantic,Italy,Caballero 125,125.0,15.0,11.0,6-speed Manual,Chain,1,1.5,2023,"Modern, aggressive",Enduro,Single-cylinder,1
271,FB Mondial,Italy,HPS 300,249.0,23.11,22.5,6-speed Manual,Chain,1,3.37,<2020,"Retro, classic",Scrambler,"Single cylinder, liquid-cooled, 4-stroke, 4-valves, SOHC",1
272,FB Mondial,Italy,300 SuperSport,300.0,30.4,24.0,6-speed Manual,Chain,1,4.2,2020,"Modern, sporty",Cafe racer,"Single cylinder, liquid-cooled, 4-stroke, 4-valves, DOHC",1
273,FB Mondial,Italy,125 SuperSport,125.0,14.8,11.5,5-speed Manual,Chain,1,2.2,2020,"Modern, sporty",Cafe racer,"Single cylinder, air-cooled, 4-stroke, 4-valves, SOHC",1
274,Zero Motorcycles,United States,Zero S,7.2,74.0,106.0,Automatic,Electric,1,13.0,2023,Naked,Street,Electric,1
275,Zero Motorcycles,United States,Zero SR,11.4,92.0,130.0,Automatic,Electric,1,16.0,2023,Naked,Street,Electric,1
276,Zero Motorcycles,United States,Zero SR/F,14.4,110.0,190.0,Automatic,Electric,1,20.0,2023,Sport,Street,Electric,1
277,Zero Motorcycles,United States,Zero DS,11.4,92.0,130.0,Automatic,Electric,1,17.0,2023,Adventure,Dual-sport,Electric,1
278,Zero Motorcycles,United States,Zero FX,7.2,74.0,106.0,Automatic,Electric,1,14.0,2023,Dirt,Off-road,Electric,1
279,Larry vs Harry,Denmark,Bullitt,125.0,151.2,11.0,5-speed Manual,Chain,1,1.45,2023,Classic,Cargo,Single,1
280,Aeon,Japan,Revo 300,292.0,27.6,31.0,Manual,Chain,2,1.05,2022,Modern,Sport,Single-cylinder,1
281,Aeon,Japan,Revo 125,124.9,13.2,12.8,Manual,Chain,2,0.55,2022,Modern,Street,Single-cylinder,1
282,Aeon,India,Neo 110,110.0,9.0,11.6,Manual,Chain,2,0.4,2022,Retro,Classic,Single-cylinder,1
283,Aeon,India,Mio 110,110.0,8.5,11.6,Automatic,CVT,2,0.35,2022,Modern,Scooter,Single-cylinder,1
284,Can-Am,Canada,Spyder RT,1330.0,115.0,156.4,6-speed Manual,Other,2,18.5,2023,Modern,Cruiser,Rotax ACE,3
285,Can-Am,Canada,Ryker,600.0,50.0,62.6,CVT,Other,2,13.5,2023,Sporty,Roadster,Rotax 600 ACE,3
286,Can-Am,Canada,F3,990.0,97.0,93.8,6-speed Manual,Other,2,15.0,2023,Sleek,Cruiser,Rotax 990 ACE,3
287,Scomadi,Italy,TL125,124.6,9.39,8.3,CVT,Belt,2,0.88,2023,Retro,Scooter,Single cylinder,1
288,Scomadi,Italy,Sixty2,279.5,19.5,22.0,CVT,Belt,2,1.99,2023,Retro,Cafe racer,Single cylinder,1
289,Scomadi,Italy,TT125,124.6,9.39,8.3,CVT,Belt,2,0.88,2023,Retro,Scrambler,Single cylinder,1
290,Genuine Scooters,Taiwan,Buddy 50,49.0,3.3,3.5,Automatic,CVT,1,0.45,2023,Retro,Standard,2-stroke,1
291,Genuine Scooters,Taiwan,Buddy 125,125.0,9.5,10.2,Automatic,CVT,2,0.6,2023,Modern,Standard,4-stroke,1
292,Genuine Scooters,Taiwan,Buddy 170i,170.0,11.6,12.8,Automatic,CVT,2,0.8,2023,Modern,Standard,4-stroke,1
293,Genuine Scooters,Taiwan,Buddy KICK,125.0,10.5,11.5,Automatic,CVT,2,0.7,2023,Modern,Standard,4-stroke,1
294,Genuine Scooters,Taiwan,Hooligan 170i,170.0,14.5,15.5,Automatic,CVT,2,0.9,2023,Retro,Standard,4-stroke,1
295,Genuine Scooters,Taiwan,Roughhouse 50,50.0,3.5,3.8,Automatic,CVT,1,0.35,2023,Retro,Standard,2-stroke,1
296,Genuine Scooters,Taiwan,Roughhouse 50 SPORT,50.0,4.5,4.8,Automatic,CVT,1,0.4,2023,Modern,Standard,2-stroke,1
297,Genuine Scooters,Taiwan,Rattler 50,50.0,3.3,3.5,Automatic,CVT,1,0.3,2023,Retro,Standard,2-stroke,1
298,Genuine Scooters,Taiwan,Venture 50,50.0,4.5,4.8,Automatic,CVT,1,0.45,2023,Modern,Standard,4-stroke,1
299,UM Motorcycles,China,Renegade Commando,279.5,25.5,23.0,5-speed Manual,Chain,2,1.64,2023,Retro,Cruiser,"Single-cylinder, liquid-cooled, 4-stroke",1
300,UM Motorcycles,China,Renegade Sport S,280.0,26.5,22.5,5-speed Manual,Chain,2,1.57,2023,Modern,Sport,"Single-cylinder, liquid-cooled, 4-stroke",1
301,UM Motorcycles,China,Renegade Duty S,223.0,17.5,16.5,5-speed Manual,Chain,2,1.1,2023,Modern,Cruiser,"Single-cylinder, air-cooled, 4-stroke",1
302,UM Motorcycles,China,Renegade Duty Ace,125.0,10.0,9.5,4-speed Manual,Chain,2,0.9,2023,Modern,Cruiser,"Single-cylinder, air-cooled, 4-stroke",1
303,UM Motorcycles,China,Renegade Thor,374.0,35.0,70.0,6-speed Manual,Chain,2,4.9,2023,Modern,Cruiser,"V-twin, liquid-cooled, 4-stroke",2
304,NIU,China,MQi GT,125.0,11.1,10.5,CVT,Automatic,2,1.5,2022,Futuristic,Scooter,Electric,1
305,NIU,China,NQi GTS,125.0,9.4,11.8,CVT,Automatic,2,1.6,2022,Sleek,Scooter,Electric,1
306,NIU,China,MQi Plus,125.0,9.4,11.8,CVT,Automatic,2,1.3,2022,Stylish,Scooter,Electric,1
307,NIU,China,NQi Sport,125.0,9.4,11.8,CVT,Automatic,2,1.45,2022,Sporty,Scooter,Electric,1
309,Sinnis,United Kingdom,Apache 125,125.0,11.5,10.5,CVT,Automatic,2,1.2,2023,Modern,Street Bike,Air-Cooled,1
310,Sinnis,United Kingdom,Meteor 125,125.0,11.5,10.5,CVT,Automatic,2,1.3,2023,Classic,Cruiser,Air-Cooled,1
311,Sinnis,United Kingdom,City 125,125.0,9.5,9.0,CVT,Automatic,2,1.0,2023,Urban,Scooter,Air-Cooled,1
312,Sinnis,United Kingdom,Terrain 125,125.0,11.5,10.5,CVT,Automatic,2,1.4,2023,Adventure,Trail Bike,Air-Cooled,1
313,Sinnis,United Kingdom,SM-XE 125,125.0,15.0,12.0,6-speed Manual,Chain,2,1.5,2023,Motocross,Street Bike,Air-Cooled,1
314,SWM,Italy,Superdual T,600.0,54.38,53.5,6-speed Manual,Chain,2,6.8,2023,Modern,Adventure,Liquid-Cooled,1
315,SWM,Italy,RS 650,650.0,55.0,55.0,6-speed Manual,Chain,2,8.5,2023,Modern,Naked,Liquid-Cooled,1
316,SWM,Italy,Viale 650,650.0,55.0,55.0,6-speed Manual,Chain,2,7.8,2023,Classic,Cruiser,Liquid-Cooled,1
317,SWM,Italy,RACER 125,125.0,11.5,10.5,CVT,Automatic,2,1.2,2023,Modern,Street Bike,Air-Cooled,1
318,SWM,Italy,GRAN TURISMO 125,125.0,11.5,10.5,CVT,Automatic,2,1.3,2023,Classic,Cruiser,Air-Cooled,1
319,Super Soco,China,TC,125.0,11.5,11.5,CVT,Automatic,2,1.4,2023,Modern,Scooter,Electric,1
320,Super Soco,China,TC Max,125.0,5.0,11.5,CVT,Automatic,2,1.5,2023,Modern,Street Bike,Electric,1
321,Super Soco,China,TS Street Hunter,125.0,3.0,15.0,CVT,Automatic,2,1.8,2023,Modern,Street Bike,Electric,1
322,Super Soco,China,CUx,125.0,3.5,14.0,CVT,Automatic,2,1.3,2023,Retro,Scooter,Electric,1
323,Super Soco,China,CPx,125.0,3.5,14.0,CVT,Automatic,2,1.4,2023,Modern,Scooter,Electric,1
324,Royal Alloy,United Kingdom,Interceptor 650,649.0,47.6,52.0,6-speed Manual,Chain,2,4.5,2023,Classic,Cruiser,Air-Cooled,2
325,Royal Alloy,United Kingdom,Himalayan,411.0,24.5,32.0,5-speed Manual,Chain,2,2.7,2023,Adventure,Trail Bike,Air-Cooled,1
326,Royal Alloy,United Kingdom,Meteor 350,349.0,20.2,27.0,5-speed Manual,Chain,2,2.1,2023,Classic,Cruiser,Air-Cooled,1
327,Royal Alloy,United Kingdom,CT 125,125.0,10.5,10.5,CVT,Automatic,2,1.1,2023,Retro,Scooter,Air-Cooled,1
328,Royal Alloy,United Kingdom,Kent 125,125.0,10.5,10.5,CVT,Automatic,2,1.0,2023,Modern,Scooter,Air-Cooled,1
329,Benelli,Italy,Imperiale 400,374.0,21.0,24.5,5-speed Manual,Chain,2,2.35,2020,Classic,Cruiser,"Single-cylinder, air-cooled",1
330,Benelli,Italy,Leoncino 250,249.2,24.5,21.5,6-speed Manual,Chain,2,2.6,2020,Modern,Streetfighter,"Single-cylinder, liquid-cooled",1
331,Benelli,Italy,TRK 251,250.9,25.0,21.0,6-speed Manual,Chain,2,2.99,2020,Adventure,Adventure touring,"Single-cylinder, liquid-cooled",1
332,Benelli,Italy,TRK 502,500.0,47.6,46.0,6-speed Manual,Chain,2,4.69,<2020,Adventure,Adventure touring,"Parallel-twin, liquid-cooled",2
333,Benelli,Italy,TNT 600i,600.0,85.0,54.0,6-speed Manual,Chain,2,6.19,<2020,Sport,Supersport,"Parallel-twin, liquid-cooled",2
334,Benelli,Italy,Leoncino 500,500.0,47.5,46.0,6-speed Manual,Chain,2,5.6,<2020,Modern,Streetfighter,"Parallel-twin, liquid-cooled",2
335,Benelli,Italy,502 C,500.0,47.5,46.0,6-speed Manual,Chain,2,5.85,2020,Retro,Cruiser,"Parallel-twin, liquid-cooled",2
336,Benelli,Italy,TNT 600RR,600.0,118.0,66.0,6-speed Manual,Chain,2,7.5,2022,Sport,Supersport,"Parallel-twin, liquid-cooled",2
337,AJS,United Kingdom,Cadwell 125,125.0,11.0,10.5,Manual,Chain,2,14.99,2023,Classic,Roadster,Single,1
338,AJS,United Kingdom,Tempest Scrambler 125,125.0,11.0,10.5,Manual,Chain,2,15.49,2023,Modern,Scrambler,Single,1
339,AJS,United Kingdom,Tempest Roadster 125,125.0,11.0,10.5,Manual,Chain,2,14.99,2023,Modern,Roadster,Single,1
340,Mutt Motorcycles,United Kingdom,Akita 125,125.0,155.6,10.0,5-speed Manual,Chain,1,3.59,2022,Retro,Cafe Racer,"Single Cylinder, 4-Stroke, Air-cooled",1
341,Zontes,China,350R,348.0,502.3,32.8,6-speed Manual,Chain,2,3.25,2022,Sporty,Naked,"Single-cylinder, liquid-cooled",1
342,Zontes,China,350T,348.0,502.3,32.8,6-speed Manual,Chain,2,3.47,2022,Modern,Adventure tourer,"Single-cylinder, liquid-cooled",1
343,Zontes,China,350X,348.0,502.3,32.8,6-speed Manual,Chain,2,3.57,2022,Rugged,Street scrambler,"Single-cylinder, liquid-cooled",1
344,Zontes,China,GK350,348.0,502.3,32.8,6-speed Manual,Chain,2,3.67,2022,Classic,Cafe racer,"Single-cylinder, liquid-cooled",1
345,Mutt Motorcycles,United Kingdom,Akita,125.0,155.6,10.0,5-speed Manual,Chain,1,3.59,2022,Retro-inspired,Cafe racer,"Single-cylinder, air-cooled",1
346,Mutt Motorcycles,United Kingdom,FSR,250.0,243.3,17.0,5-speed Manual,Chain,1,4.99,2022,Retro-inspired,Scrambler,"Single-cylinder, air-cooled",1
347,Mutt Motorcycles,United Kingdom,GT-SR,250.0,243.3,17.0,5-speed Manual,Chain,1,5.49,2022,Retro-inspired,Cafe racer,"Single-cylinder, air-cooled",1
348,Mutt Motorcycles,United Kingdom,GT-SS,250.0,263.0,18.0,5-speed Manual,Chain,1,5.99,2022,Retro-inspired,Bobber,"Single-cylinder, air-cooled",1
349,Mutt Motorcycles,United Kingdom,Hilts,250.0,243.3,17.0,5-speed Manual,Chain,1,5.29,2022,Retro-inspired,Tracker,"Single-cylinder, air-cooled",1
350,Mutt Motorcycles,United Kingdom,Mastiff,250.0,263.0,18.0,5-speed Manual,Chain,1,6.49,2022,Retro-inspired,Cruiser,"Single-cylinder, air-cooled",1
351,Mutt Motorcycles,United Kingdom,Mongrel,250.0,263.0,18.0,5-speed Manual,Chain,1,5.99,2022,Retro-inspired,Scrambler,"Single-cylinder, air-cooled",1
352,Mutt Motorcycles,United Kingdom,Razorback,250.0,263.0,18.0,5-speed Manual,Chain,1,6.99,2022,Retro-inspired,Bobber,"Single-cylinder, air-cooled",1
353,Mutt Motorcycles,United Kingdom,RS-13,250.0,263.0,18.0,5-speed Manual,Chain,1,6.79,2022,Retro-inspired,Cafe racer,"Single-cylinder, air-cooled",1
354,Mutt Motorcycles,United Kingdom,Sabbath,250.0,263.0,18.0,5-speed Manual,Chain,1,7.49,2022,Retro-inspired,Cruiser,"Single-cylinder, air-cooled",1
355,Energica Motor Company,Italy,Ego,1256.2,163.0,265.2,Automatic,Electric,1,21.15,<2020,Futuristic,Naked,Electric,1
356,Energica Motor Company,Italy,Eva Ribelle,1256.2,163.0,265.2,Automatic,Electric,2,22.5,<2020,Modern,Roadster,Electric,1
357,Energica Motor Company,Italy,EsseEsse9,1256.2,163.0,265.2,Automatic,Electric,2,25.0,<2020,Retro,Cruiser,Electric,1
358,Energica Motor Company,Italy,EGO+,1438.9,171.0,301.9,Automatic,Electric,1,23.75,2022,Futuristic,Naked,Electric,1
359,Energica Motor Company,Italy,Eva Ribelle RS,1438.9,171.0,301.9,Automatic,Electric,2,25.25,2022,Modern,Roadster,Electric,1
360,Moto Morini,Italy,X-Cape,649.0,60.8,62.0,6-speed Manual,Other,2,7.2,2023,Modern,Adventure touring,"Liquid-cooled, DOHC",2
361,Moto Morini,Italy,Seiemmezzo 6 ½,649.0,55.7,58.0,6-speed Manual,Other,2,6.89,2023,Retro,Naked,"Liquid-cooled, DOHC",2
